Tweet_id,date,user,text
1247250899447283713,04/06/2020,drvannostril,agree total clown show tsla exponentially destroying goodwill among both employees
1247250636221145088,04/06/2020,StockHollywood,tsla this can move up significantly if we see that  cross with volume keep watch after hourstomorrowthis week
1247250211363336194,04/06/2020,BolderTrades,tsla climbing into close
1247250029833785345,04/06/2020,UntalLuisda_,tesla overcomes plant shutdowns to again build  cars in quarter tsla
1247249462063435776,04/06/2020,AtlasAlphaTrade,agree total clown show tsla exponentially destroying goodwill among both employ
1247249349748416513,04/06/2020,AaronJTheGreat,im more charmed by the tsla employees they are the ones in the video and the ones adding extra value t
1247248632874704897,04/06/2020,limestonesearch,tesla overcomes plant shutdowns to again build  cars in quarter tsla
1247248233296003076,04/06/2020,misckawitz,thank you  i made one comment about liking my tesla even while short tsla and all hell broke lose
1247246988921405440,04/06/2020,Zen_Options,focus on tsla rest of week
1247246874567782401,04/06/2020,commandenteSD,tsla flow into  lotto
1247246855106420737,04/06/2020,Gene80592105,tsla doesnt seem to be correlated with the market
1247246515820773381,04/06/2020,TargetPrices,tslatarget set byjefferieshold  buyusd   usd
1247246009664757761,04/06/2020,StckPro,tsla new a mt sinai coo says donated bpap machines from tesla are being converted into ventilators
1247245729451536384,04/06/2020,MinteractApp,options flow grid update tsla optionstrading tesla teslaventilator
1247245702276599808,04/06/2020,commandenteSD,tsla tight could take off over
1247245468393857024,04/06/2020,FaithinTesla,will any other auto company who does this please stand up tsla tesla
1247245338135715840,04/06/2020,StockHollywood,and i like tsla if it can get over  this week should send it up considerably big if tho
1247244863256571911,04/06/2020,lenox_stratis,tsla is a good examplered days during open market but goes higher because of low volume preafte
1247244785804435456,04/06/2020,dontforceatrade,tsla i see the rare bullish pattern that is ready to fly
1247244609182404614,04/06/2020,RottenAl,that  billion market cap aint gonna maintain itself tsla
1247244523882917888,04/06/2020,NecroDisco,tesla tsla unusual options activities detected  optionstrading check options money flow grid day options pow
1247244462897508354,04/06/2020,StockJoke,brutal chartthankfully tsla is a software company
1247243944213315585,04/06/2020,StckPro,tsla new a tesla reveals prototype ventilator made from electric vehicle parts
1247243892627570688,04/06/2020,sspencer_smb,sure why not tsla
1247243390472859648,04/06/2020,JCOviedo6,tslatesla increases price to remove its solar system for monthly rental customers from  to  in calif
1247242963337359365,04/06/2020,WallSt_God,tsla calls over  tomorrow
1247242910619369477,04/06/2020,LuminaOptions,tsla buy back the aprilput spread for
1247242900057931776,04/06/2020,Paul91701736,laughably weve been told over and over how strong tslas balance sheet is by people who allegedly know how to re
1247242877027012608,04/06/2020,rocobasilisk,tesla model y contactless delivery process pics amp vid  panoramic glass roof  h
1247242586881916931,04/06/2020,SolarCoinNews,tesla model y contactless delivery process pics amp vid  panoramic glass roof  h
1247242443776569345,04/06/2020,Gene80592105,nobody thats sane will buy an  tsla with  buck gas
1247242431499771905,04/06/2020,theshredlounge,tsla outthink im done small green day i will take ittomorrows a new shredmostly scalping ranges with small siz
1247241950106968066,04/06/2020,200pipss,tsla upgrades on their way this week
1247241879579545600,04/06/2020,JosephVVallace,tsla is g r o w i n g  fast who else is growingdifferent factories right now
1247241840635584512,04/06/2020,Gene80592105,time to short the st out of tsla
1247241588184662016,04/06/2020,trader_ink,tsla lagging the overall market you  know what comes next
1247241432970207234,04/06/2020,TeslaScoop,charging my tesla for free no more gas stations for me tsla
1247241320365686789,04/06/2020,swmfst,tsla  cool educational video on how a ventilator works is tesla thinking about getting into the ventilator business
1247241212756733959,04/06/2020,letsgojim1234,tsla is it actually weak as fuck or being held down and loaded for after hours bonanza hmmmmmm
1247241028341387264,04/06/2020,ESCapResearch,tsla lagging the indices lol
1247241020980355072,04/06/2020,BradMunchen,in tslas  interest income would imply  in cash ht  add  in offshore cash ex
1247241018254282755,04/06/2020,87AlwaysRed,interactive brokers always fills my short orders i had that problem with my old broker quite often with tsla
